tench,"tench, Tinca tinca"
Great Pyrenees dog,Great Pyrenees
Samoyed,"Samoyed, Samoyede"
Pomeranian,Pomeranian
Chow Chow,"chow, chow chow"
Keeshond,keeshond
brussels griffon,Brabancon griffon
Pembroke Welsh Corgi,"Pembroke, Pembroke Welsh corgi"
Cardigan Welsh Corgi,"Cardigan, Cardigan Welsh corgi"
Toy Poodle,toy poodle
Miniature Poodle,miniature poodle
Standard Poodle,standard poodle
Mexican hairless dog (xoloitzcuintli),Mexican hairless
grey wolf,"timber wolf, grey wolf, gray wolf, Canis lupus"
Alaskan tundra wolf,"white wolf, Arctic wolf, Canis lupus tundrarum"
red wolf or maned wolf,"red wolf, maned wolf, Canis rufus, Canis niger"
coyote,"coyote, prairie wolf, brush wolf, Canis latrans"
dingo,"dingo, warrigal, warragal, Canis dingo"
dhole,"dhole, Cuon alpinus"
African wild dog,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
hyena,"hyena, hyaena"
red fox,"red fox, Vulpes vulpes"
kit fox,"kit fox, Vulpes macrotis"
Arctic fox,"Arctic fox, white fox, Alopex lagopus"
grey fox,"grey fox, gray fox, Urocyon cinereoargenteus"
tabby cat,"tabby, tabby cat"
tiger cat,tiger cat
Persian cat,Persian cat
Siamese cat,"Siamese cat, Siamese"
Egyptian Mau,Egyptian cat
cougar,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
lynx,"lynx, catamount"
leopard,"leopard, Panthera pardus"
snow leopard,"snow leopard, ounce, Panthera uncia"
jaguar,"jaguar, panther, Panthera onca, Felis onca"
lion,"lion, king of beasts, Panthera leo"
tiger,"tiger, Panthera tigris"
cheetah,"cheetah, chetah, Acinonyx jubatus"
brown bear,"brown bear, bruin, Ursus arctos"
American black bear,"American black bear, black bear, Ursus americanus, Euarctos americanus"
polar bear,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
sloth bear,"sloth bear, Melursus ursinus, Ursus ursinus"
mongoose,mongoose
meerkat,"meerkat, mierkat"
tiger beetle,tiger beetle
ladybug,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
ground beetle,"ground beetle, carabid beetle"
longhorn beetle,"long-horned beetle, longicorn, longicorn beetle"
leaf beetle,"leaf beetle, chrysomelid"
dung beetle,dung beetle
rhinoceros beetle,rhinoceros beetle
weevil,weevil
fly,fly
bee,bee
ant,"ant, emmet, pismire"
grasshopper,"grasshopper, hopper"
cricket insect,cricket
stick insect,"walking stick, walkingstick, stick insect"
cockroach,"cockroach, roach"
praying mantis,"mantis, mantid"
cicada,"cicada, cicala"
leafhopper,leafhopper
lacewing,"lacewing, lacewing fly"
dragonfly,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
damselfly,damselfly
red admiral butterfly,admiral
ringlet butterfly,"ringlet, ringlet butterfly"
monarch butterfly,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
small white butterfly,cabbage butterfly
sulphur butterfly,"sulphur butterfly, sulfur butterfly"
gossamer-winged butterfly,"lycaenid, lycaenid butterfly"
starfish,"starfish, sea star"
sea urchin,sea urchin
sea cucumber,"sea cucumber, holothurian"
cottontail rabbit,"wood rabbit, cottontail, cottontail rabbit"
hare,hare
Angora rabbit,"Angora, Angora rabbit"
hamster,hamster
porcupine,"porcupine, hedgehog"
fox squirrel,"fox squirrel, eastern fox squirrel, Sciurus niger"
marmot,marmot
beaver,beaver
guinea pig,"guinea pig, Cavia cobaya"
common sorrel horse,sorrel
zebra,zebra
pig,"hog, pig, grunter, squealer, Sus scrofa"
wild boar,"wild boar, boar, Sus scrofa"
warthog,warthog
hippopotamus,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
ox,ox
water buffalo,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
bison,bison
ram (adult male sheep),"ram, tup"
bighorn sheep,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
Alpine ibex,"ibex, Capra ibex"
hartebeest,hartebeest
impala (antelope),"impala, Aepyceros melampus"
gazelle,gazelle
arabian camel,"Arabian camel, dromedary, Camelus dromedarius"
llama,llama
weasel,weasel
mink,mink
European polecat,"polecat, fitch, foulmart, foumart, Mustela putorius"
black-footed ferret,"black-footed ferret, ferret, Mustela nigripes"
otter,otter
skunk,"skunk, polecat, wood pussy"
badger,badger
armadillo,armadillo
three-toed sloth,"three-toed sloth, ai, Bradypus tridactylus"
orangutan,"orangutan, orang, orangutang, Pongo pygmaeus"
gorilla,"gorilla, Gorilla gorilla"
chimpanzee,"chimpanzee, chimp, Pan troglodytes"
gibbon,"gibbon, Hylobates lar"
siamang,"siamang, Hylobates syndactylus, Symphalangus syndactylus"
guenon,"guenon, guenon monkey"
patas monkey,"patas, hussar monkey, Erythrocebus patas"
baboon,baboon
macaque,macaque
langur,langur
black-and-white colobus,"colobus, colobus monkey"
proboscis monkey,"proboscis monkey, Nasalis larvatus"
marmoset,marmoset
white-headed capuchin,"capuchin, ringtail, Cebus capucinus"
howler monkey,"howler monkey, howler"
titi monkey,"titi, titi monkey"
Geoffroy's spider monkey,"spider monkey, Ateles geoffroyi"
common squirrel monkey,"squirrel monkey, Saimiri sciureus"
ring-tailed lemur,"Madagascar cat, ring-tailed lemur, Lemur catta"
indri,"indri, indris, Indri indri, Indri brevicaudatus"
Asian elephant,"Indian elephant, Elephas maximus"
African bush elephant,"African elephant, Loxodonta africana"
red panda,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"
giant panda,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
snoek fish,"barracouta, snoek"
eel,eel
silver salmon,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
rock beauty fish,"rock beauty, Holocanthus tricolor"
clownfish,anemone fish
sturgeon,sturgeon
gar fish,"gar, garfish, garpike, billfish, Lepisosteus osseus"
lionfish,lionfish
pufferfish,"puffer, pufferfish, blowfish, globefish"
abacus,abacus
abaya,abaya
academic gown,"academic gown, academic robe, judge's robe"
accordion,"accordion, piano accordion, squeeze box"
acoustic guitar,acoustic guitar
aircraft carrier,"aircraft carrier, carrier, flattop, attack aircraft carrier"
airliner,airliner
airship,"airship, dirigible"
altar,altar
ambulance,ambulance
amphibious vehicle,"amphibian, amphibious vehicle"
analog clock,analog clock
apiary,"apiary, bee house"
apron,apron
trash can,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
assault rifle,"assault rifle, assault gun"
backpack,"backpack, back pack, knapsack, packsack, rucksack, haversack"
bakery,"bakery, bakeshop, bakehouse"
balance beam,"balance beam, beam"
balloon,balloon
ballpoint pen,"ballpoint, ballpoint pen, ballpen, Biro"
Band-Aid,Band Aid
banjo,banjo
baluster / handrail,"bannister, banister, balustrade, balusters, handrail"
barbell,barbell
barber chair,barber chair
barbershop,barbershop
barn,barn
barometer,barometer
barrel,"barrel, cask"
wheelbarrow,"barrow, garden cart, lawn cart, wheelbarrow"
baseball,baseball
basketball,basketball
bassinet,bassinet
bassoon,bassoon
swimming cap,"bathing cap, swimming cap"
bath towel,bath towel
bathtub,"bathtub, bathing tub, bath, tub"
station wagon,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
lighthouse,"beacon, lighthouse, beacon light, pharos"
beaker,beaker
military hat (bearskin or shako),"bearskin, busby, shako"
beer bottle,beer bottle
beer glass,beer glass
bell tower,"bell cote, bell cot"
baby bib,bib
tandem bicycle,"bicycle-built-for-two, tandem bicycle, tandem"
bikini,"bikini, two-piece"
ring binder,"binder, ring-binder"
binoculars,"binoculars, field glasses, opera glasses"
birdhouse,birdhouse
boathouse,boathouse
bobsleigh,"bobsled, bobsleigh, bob"
bolo tie,"bolo tie, bolo, bola tie, bola"
poke bonnet,"bonnet, poke bonnet"
bookcase,bookcase
bookstore,"bookshop, bookstore, bookstall"
bottle cap,bottlecap
hunting bow,bow
bow tie,"bow tie, bow-tie, bowtie"
brass memorial plaque,"brass, memorial tablet, plaque"
bra,"brassiere, bra, bandeau"
breakwater,"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
breastplate,"breastplate, aegis, egis"
broom,broom
bucket,"bucket, pail"
buckle,buckle
bulletproof vest,bulletproof vest
high-speed train,"bullet train, bullet"
butcher shop,"butcher shop, meat market"
taxicab,"cab, hack, taxi, taxicab"
cauldron,"caldron, cauldron"
candle,"candle, taper, wax light"
cannon,cannon
canoe,canoe
can opener,"can opener, tin opener"
cardigan,cardigan
car mirror,car mirror
carousel,"carousel, carrousel, merry-go-round, roundabout, whirligig"
tool kit,"carpenter's kit, tool kit"
cardboard box / carton,carton
car wheel,car wheel
automated teller machine,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
cassette,cassette
cassette player,cassette player
castle,castle
catamaran,catamaran
CD player,CD player
cello,"cello, violoncello"
mobile phone,"cellular telephone, cellular phone, cellphone, cell, mobile phone"
chain,chain
chain-link fence,chainlink fence
chain mail,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"
chainsaw,"chain saw, chainsaw"
storage chest,chest
chiffonier,"chiffonier, commode"
bell or wind chime,"chime, bell, gong"
china cabinet,"china cabinet, china closet"
Christmas stocking,Christmas stocking
church,"church, church building"
movie theater,"cinema, movie theater, movie theatre, movie house, picture palace"
cleaver,"cleaver, meat cleaver, chopper"
cliff dwelling,cliff dwelling
cloak,cloak
clogs,"clog, geta, patten, sabot"
cocktail shaker,cocktail shaker
coffee mug,coffee mug
coffeemaker,coffeepot
spiral or coil,"coil, spiral, volute, whorl, helix"
combination lock,combination lock
computer keyboard,"computer keyboard, keypad"
candy store,"confectionery, confectionary, candy store"
container ship,"container ship, containership, container vessel"
convertible,convertible
corkscrew,"corkscrew, bottle screw"
cornet,"cornet, horn, trumpet, trump"
cowboy boot,cowboy boot
cowboy hat,"cowboy hat, ten-gallon hat"
cradle,cradle
construction crane,construction crane
crash helmet,crash helmet
crate,crate
infant bed,"crib, cot"
Crock Pot,Crock Pot
croquet ball,croquet ball
crutch,crutch
cuirass,cuirass
dam,"dam, dike, dyke"
desk,desk
desktop computer,desktop computer
rotary dial telephone,"dial telephone, dial phone"
diaper,"diaper, nappy, napkin"
digital clock,digital clock
digital watch,digital watch
dining table,"dining table, board"
dishcloth,"dishrag, dishcloth"
dishwasher,"dishwasher, dish washer, dishwashing machine"
disc brake,"disk brake, disc brake"
dock,"dock, dockage, docking facility"
dog sled,"dogsled, dog sled, dog sleigh"
dome,dome
doormat,"doormat, welcome mat"
drilling rig,"drilling platform, offshore rig"
drum,"drum, membranophone, tympan"
drumstick,drumstick
dumbbell,dumbbell
Dutch oven,Dutch oven
electric fan,"electric fan, blower"
electric guitar,electric guitar
electric locomotive,electric locomotive
entertainment center,entertainment center
envelope,envelope
espresso machine,espresso maker
face powder,face powder
feather boa,"feather boa, boa"
filing cabinet,"file, file cabinet, filing cabinet"
fireboat,fireboat
fire truck,"fire engine, fire truck"
fire screen,"fire screen, fireguard"
flagpole,"flagpole, flagstaff"
flute,"flute, transverse flute"
folding chair,folding chair
football helmet,football helmet
forklift,forklift
fountain,fountain
fountain pen,fountain pen
four-poster bed,four-poster
freight car,freight car
French horn,"French horn, horn"
frying pan,"frying pan, frypan, skillet"
fur coat,fur coat
garbage truck,"garbage truck, dustcart"
gas mask or respirator,"gasmask, respirator, gas helmet"
gas pump,"gas pump, gasoline pump, petrol pump, island dispenser"
goblet,goblet
go-kart,go-kart
golf ball,golf ball
golf cart,"golfcart, golf cart"
gondola,gondola
gong,"gong, tam-tam"
gown,gown
grand piano,"grand piano, grand"
greenhouse,"greenhouse, nursery, glasshouse"
radiator grille,"grille, radiator grille"
grocery store,"grocery store, grocery, food market, market"
guillotine,guillotine
hair clip,hair slide
hair spray,hair spray
half-track,half track
hammer,hammer
hamper,hamper
hair dryer,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
hand-held computer,"hand-held computer, hand-held microcomputer"
handkerchief,"handkerchief, hankie, hanky, hankey"
hard disk drive,"hard disc, hard disk, fixed disk"
harmonica,"harmonica, mouth organ, harp, mouth harp"
harp,harp
combine harvester,"harvester, reaper"
hatchet,hatchet
holster,holster
home theater,"home theater, home theatre"
honeycomb,honeycomb
hook,"hook, claw"
hoop skirt,"hoopskirt, crinoline"
gymnastic horizontal bar,"horizontal bar, high bar"
horse-drawn vehicle,"horse cart, horse-cart"
hourglass,hourglass
iPod,iPod
clothes iron,"iron, smoothing iron"
carved pumpkin,jack-o'-lantern
jeans,"jean, blue jean, denim"
jeep,"jeep, landrover"
T-shirt,"jersey, T-shirt, tee shirt"
jigsaw puzzle,jigsaw puzzle
rickshaw,"jinrikisha, ricksha, rickshaw"
joystick,joystick
kimono,kimono
knee pad,knee pad
knot,knot
lab coat,"lab coat, laboratory coat"
ladle,ladle
lampshade,"lampshade, lamp shade"
laptop computer,"laptop, laptop computer"
lawn mower,"lawn mower, mower"
lens cap,"lens cap, lens cover"
letter opener,"letter opener, paper knife, paperknife"
library,library
lifeboat,lifeboat
lighter,"lighter, light, igniter, ignitor"
limousine,"limousine, limo"
ocean liner,"liner, ocean liner"
lipstick,"lipstick, lip rouge"
slip-on shoe,Loafer
lotion,lotion
music speaker,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
loupe magnifying glass,"loupe, jeweler's loupe"
sawmill,"lumbermill, sawmill"
magnetic compass,magnetic compass
messenger bag,"mailbag, postbag"
mailbox,"mailbox, letter box"
tights,maillot
one-piece bathing suit,"maillot, tank suit"
manhole cover,manhole cover
maraca,maraca
marimba,"marimba, xylophone"
mask,mask
matchstick,matchstick
maypole,maypole
maze,"maze, labyrinth"
measuring cup,measuring cup
medicine cabinet,"medicine chest, medicine cabinet"
megalith,"megalith, megalithic structure"
microphone,"microphone, mike"
microwave oven,"microwave, microwave oven"
military uniform,military uniform
milk can,milk can
minibus,minibus
miniskirt,"miniskirt, mini"
minivan,minivan
missile,missile
mitten,mitten
mixing bowl,mixing bowl
mobile home,"mobile home, manufactured home"
ford model t,Model T
modem,modem
monastery,monastery
monitor,monitor
moped,moped
mortar and pestle,mortar
graduation cap,mortarboard
mosque,mosque
mosquito net,mosquito net
vespa,"motor scooter, scooter"
mountain bike,"mountain bike, all-terrain bike, off-roader"
tent,mountain tent
computer mouse,"mouse, computer mouse"
mousetrap,mousetrap
moving van,moving van
muzzle,muzzle
metal nail,nail
neck brace,neck brace
necklace,necklace
baby pacifier,nipple
notebook computer,"notebook, notebook computer"
obelisk,obelisk
oboe,"oboe, hautboy, hautbois"
ocarina,"ocarina, sweet potato"
odometer,"odometer, hodometer, mileometer, milometer"
oil filter,oil filter
pipe organ,"organ, pipe organ"
oscilloscope,"oscilloscope, scope, cathode-ray oscilloscope, CRO"
overskirt,overskirt
bullock cart,oxcart
oxygen mask,oxygen mask
product packet / packaging,packet
paddle,"paddle, boat paddle"
paddle wheel,"paddlewheel, paddle wheel"
padlock,padlock
paintbrush,paintbrush
pajamas,"pajama, pyjama, pj's, jammies"
palace,palace
pan flute,"panpipe, pandean pipe, syrinx"
paper towel,paper towel
parachute,"parachute, chute"
parallel bars,"parallel bars, bars"
park bench,park bench
parking meter,parking meter
railroad car,"passenger car, coach, carriage"
patio,"patio, terrace"
payphone,"pay-phone, pay-station"
pedestal,"pedestal, plinth, footstall"
pencil case,"pencil box, pencil case"
pencil sharpener,pencil sharpener
perfume,"perfume, essence"
Petri dish,Petri dish
photocopier,photocopier
plectrum,"pick, plectrum, plectron"
Pickelhaube,pickelhaube
picket fence,"picket fence, paling"
pickup truck,"pickup, pickup truck"
pier,pier
piggy bank,"piggy bank, penny bank"
pill bottle,pill bottle
pillow,pillow
ping-pong ball,ping-pong ball
pinwheel,pinwheel
pirate ship,"pirate, pirate ship"
drink pitcher,"pitcher, ewer"
block plane,"plane, carpenter's plane, woodworking plane"
planetarium,planetarium
plastic bag,plastic bag
plate rack,plate rack
farm plow,"plow, plough"
plunger,"plunger, plumber's helper"
Polaroid camera,"Polaroid camera, Polaroid Land camera"
pole,pole
police van,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
poncho,poncho
pool table,"pool table, billiard table, snooker table"
soda bottle,"pop bottle, soda bottle"
plant pot,"pot, flowerpot"
potter's wheel,potter's wheel
power drill,power drill
prayer rug,"prayer rug, prayer mat"
printer,printer
prison,"prison, prison house"
missile,"projectile, missile"
projector,projector
hockey puck,"puck, hockey puck"
punching bag,"punching bag, punch bag, punching ball, punchball"
purse,purse
quill,"quill, quill pen"
quilt,"quilt, comforter, comfort, puff"
race car,"racer, race car, racing car"
racket,"racket, racquet"
radiator,radiator
radio,"radio, wireless"
radio telescope,"radio telescope, radio reflector"
rain barrel,rain barrel
recreational vehicle,"recreational vehicle, RV, R.V."
fishing casting reel,reel
reflex camera,reflex camera
refrigerator,"refrigerator, icebox"
remote control,"remote control, remote"
restaurant,"restaurant, eating house, eating place, eatery"
revolver,"revolver, six-gun, six-shooter"
rifle,rifle
rocking chair,"rocking chair, rocker"
rotisserie,rotisserie
eraser,"rubber eraser, rubber, pencil eraser"
rugby ball,rugby ball
ruler measuring stick,"rule, ruler"
sneaker,running shoe
safe,safe
safety pin,safety pin
salt shaker,"saltshaker, salt shaker"
sandal,sandal
sarong,sarong
saxophone,"sax, saxophone"
scabbard,scabbard
